HP:0000975	D006945,D013546
HP:0000076	D014718
HP:0000262	D003398
HP:0004386	D003092,D003424,D015212,D004941,D003093
HP:0011702	D012804
HP:0100699	D002921,D007627
HP:0100568	D002276,D018358,D004701,D013964,D010911
HP:0000481	D001251,D007640
HP:0100737	D002972
HP:0100580	D001471
HP:0004757	D001281
HP:0002349	D004828
HP:0012379	D008107
HP:0011122	D004893,D003876,D011537,D003872,D004485,D005076,D012628,D011565
HP:0004313	D000361,D017098
HP:0000598	D003638,D010040,D034381,D011304,D006319,D014012,D010033
HP:0100835	D008579
HP:0030186	D014202,D020329
HP:0000855	D007333
HP:0002104	D012891,D001049,D020181
HP:0100602	D011225
HP:0100767	D000037
HP:0006766	D002292
HP:0100526	D018192,D055752,D008175,D002289
HP:0001915	D000741
HP:0002367	D006212
HP:0100314	D016874,D016631,D020961
HP:0003170	D006617
HP:0002034	D012004
HP:0001627	D054549,D006343,D006349,D013771,D008945,D009205,D017379,D006330,D006345,D006332,D002311,D006344,D009202
HP:0000836	D006980,D006111
HP:0001882	D008231,D007970
HP:0011821	D012852,D010254
HP:0002725	D008180
HP:0100261	D003286,D004387
HP:0010787	D011471,D016889,D010051,D014594,D007889,D013736
HP:0001268	D057180,D060825,D003704
HP:0100009	D008579
HP:0012199	D003027
HP:0002926	D006980,D007037,D006111
HP:0010562	D007627
HP:0002898	D009373,D009396
HP:0030680	D061205,D006343,D018192,D006349,D008945,D017545,D002532,D009205,D058729,D001014,D006332,D016491,D050197,D002311,D002545,D018190,D014689,D009202,D001161,D003324,D054549,D014648,D013771,D001017,D006330,D017379,D006345,D016893,D000783,D006344
HP:0032892	D003294
HP:0001197	D011225,D047928,D000037,D006939,D016640
HP:0004362	D008531,D006627
HP:0002013	D014839
HP:0002860	D018307,D002294
HP:0100787	D011471
HP:0001891	D018798
HP:0000009	D014549,D014550,D014718
HP:0000750	D007805
HP:0005231	D005757
HP:0001684	D006344
HP:0000794	D005922
HP:0005372	D008258,D000361,D017098,D006942
HP:0032263	D006973
HP:0001822	D000071378,D006215
HP:0012443	D016874,D002543,D002532,D020961,D002545,D010911,D020300,D020521,D016631,D056784,D010900,D054220
HP:0002083	D020326
HP:0002539	D054220
HP:0001374	D006618
HP:0002360	D009290,D007319,D012891,D020181,D006970,D012148
HP:0003011	D003286,D009220,D009135,D002114,D012206,D004387
HP:0000119	D014564,D000419,D011085,D014571,D008595,D053040,D014549,D008594,D007889,D004715,D001746,D011507,D007680,D011317,D010049,D014565,D010051,D007662,D005922,D013736,D014718,D009393,D001749,D002583,D002292,D011471,D053713,D005921,D058186,D005923,D010048,D014594,D015433,D051437,D006417,D009845,D014550,D016889,D009404,D016649,D006029,D007172,D011470,D004412,D009396,D007674,D051436
HP:0011842	D000071378,D003398,D010008,D055034,D006617,D015210,D010014,D006073,D012516,D010003,D055959,D004387,D006215,D001416,D006618,D012852,D003286,D010024,D015207,D020370,D001172,D010254,D010020,D001168,D004204,D007592
HP:0002180	D009410,D019636
HP:0008807	D006617
