Gene stable ID,Gene stable ID version,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name,Mouse gene stable ID,Mouse gene name,Mouse chromosome/scaffold name,Mouse chromosome/scaffold start (bp),Mouse chromosome/scaffold end (bp),Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Mouse Whole-genome alignment coverage
ENSG00000198888,ENSG00000198888.2,3307,4262,MT,MT-ND1,ENSMUSG00000064341,mt-Nd1,MT,2751,3707,ortholog_one2one,1,100.00
ENSG00000198763,ENSG00000198763.3,4470,5511,MT,MT-ND2,ENSMUSG00000064345,mt-Nd2,MT,3914,4951,ortholog_one2one,1,100.00
ENSG00000198804,ENSG00000198804.2,5904,7445,MT,MT-CO1,ENSMUSG00000064351,mt-Co1,MT,5328,6872,ortholog_one2one,1,100.00
ENSG00000198712,ENSG00000198712.1,7586,8269,MT,MT-CO2,ENSMUSG00000064354,mt-Co2,MT,7013,7696,ortholog_one2one,1,100.00
ENSG00000228253,ENSG00000228253.1,8366,8572,MT,MT-ATP8,ENSMUSG00000064356,mt-Atp8,MT,7766,7969,ortholog_one2one,0,100.00
ENSG00000198899,ENSG00000198899.2,8527,9207,MT,MT-ATP6,ENSMUSG00000064357,mt-Atp6,MT,7927,8607,ortholog_one2one,1,100.00
ENSG00000198938,ENSG00000198938.2,9207,9990,MT,MT-CO3,ENSMUSG00000064358,mt-Co3,MT,8607,9390,ortholog_one2one,1,100.00
ENSG00000198840,ENSG00000198840.2,10059,10404,MT,MT-ND3,ENSMUSG00000064360,mt-Nd3,MT,9459,9806,ortholog_one2one,1,100.00
ENSG00000212907,ENSG00000212907.2,10470,10766,MT,MT-ND4L,ENSMUSG00000065947,mt-Nd4l,MT,9877,10173,ortholog_one2one,1,100.00
ENSG00000198886,ENSG00000198886.2,10760,12137,MT,MT-ND4,ENSMUSG00000064363,mt-Nd4,MT,10167,11544,ortholog_one2one,1,100.00
ENSG00000198786,ENSG00000198786.2,12337,14148,MT,MT-ND5,ENSMUSG00000064367,mt-Nd5,MT,11742,13565,ortholog_one2one,1,100.00
ENSG00000198695,ENSG00000198695.2,14149,14673,MT,MT-ND6,ENSMUSG00000064368,mt-Nd6,MT,13552,14070,ortholog_one2one,1,100.00
ENSG00000198727,ENSG00000198727.2,14747,15887,MT,MT-CYB,ENSMUSG00000064370,mt-Cytb,MT,14145,15288,ortholog_one2one,1,100.00
ENSG00000134249,ENSG00000134249.7,119893533,119896515,1,ADAM30,ENSMUSG00000043468,Adam30,3,98160630,98164169,ortholog_one2one,1,93.91
ENSG00000134250,ENSG00000134250.20,119911553,120100779,1,NOTCH2,ENSMUSG00000027878,Notch2,3,98013527,98150361,ortholog_one2one,1,100.00
ENSG00000265808,ENSG00000265808.4,120150898,120176520,1,SEC22B,ENSMUSG00000027879,Sec22b,3,97901190,97923276,ortholog_one2one,1,100.00
ENSG00000273694,ENSG00000273694.1,120571120,120571264,1,U2,ENSMUSG00000088991,Gm22768,13,112291121,112291273,ortholog_one2many,0,
ENSG00000277610,ENSG00000277610.1,120942600,120942763,1,RNVU1-4,ENSMUSG00000064485,Gm23735,14,72131088,72131221,ortholog_one2many,0,
ENSG00000198019,ENSG00000198019.13,121087345,121097161,1,FCGR1B,ENSMUSG00000015947,Fcgr1,3,96282909,96293969,ortholog_one2many,0,100.00
ENSG00000188610,ENSG00000188610.12,121167646,121185539,1,FAM72B,ENSMUSG00000055184,Fam72a,1,131527903,131539872,ortholog_one2many,1,100.00
ENSG00000171943,ENSG00000171943.12,121184811,121392874,1,SRGAP2C,ENSMUSG00000026425,Srgap2,1,131285251,131527352,ortholog_one2many,0,85.12
ENSG00000202167,ENSG00000202167.1,143652050,143652215,1,RNU1-114P,ENSMUSG00000089396,Gm23027,15,76036459,76036616,ortholog_one2many,0,
ENSG00000263513,ENSG00000263513.5,143955364,143971965,1,FAM72C,ENSMUSG00000055184,Fam72a,1,131527903,131539872,ortholog_one2many,1,100.00
ENSG00000196369,ENSG00000196369.11,144887265,145095528,1,SRGAP2B,ENSMUSG00000026425,Srgap2,1,131285251,131527352,ortholog_one2many,0,85.15
ENSG00000215784,ENSG00000215784.6,145095974,145112696,1,FAM72D,ENSMUSG00000055184,Fam72a,1,131527903,131539872,ortholog_one2many,1,100.00
ENSG00000270384,ENSG00000270384.1,145431527,145431693,1,RNU1-154P,ENSMUSG00000089396,Gm23027,15,76036459,76036616,ortholog_one2many,0,
ENSG00000117262,ENSG00000117262.19,145607988,145670650,1,GPR89A,ENSMUSG00000028096,Gpr89,3,96868281,96905346,ortholog_one2many,1,100.00
ENSG00000174827,ENSG00000174827.14,145670852,145708148,1,PDZK1,ENSMUSG00000038298,Pdzk1,3,96829284,96870926,ortholog_one2one,1,100.00
ENSG00000117281,ENSG00000117281.16,145719471,145739288,1,CD160,ENSMUSG00000038304,Cd160,3,96798763,96829351,ortholog_one2one,1,100.00
ENSG00000265491,ENSG00000265491.5,145738868,145824095,1,RNF115,ENSMUSG00000028098,Rnf115,3,96727664,96791638,ortholog_one2one,1,100.00
ENSG00000186141,ENSG00000186141.9,145824088,145844402,1,POLR3C,ENSMUSG00000028099,Polr3c,3,96711490,96727628,ortholog_one2one,1,100.00
ENSG00000186364,ENSG00000186364.12,145845630,145848954,1,NUDT17,ENSMUSG00000028100,Nudt17,3,96706067,96708562,ortholog_one2one,1,98.69
ENSG00000131788,ENSG00000131788.16,145848522,145859836,1,PIAS3,ENSMUSG00000028101,Pias3,3,96696384,96706070,ortholog_one2one,1,100.00
ENSG00000198483,ENSG00000198483.13,145866560,145885866,1,ANKRD35,ENSMUSG00000038354,Ankrd35,3,96670131,96691032,ortholog_one2one,1,100.00
